,Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Year,Month,Delta,Price_Delta
1658,2019-07-17,164.891,6.106,7.081,,13.187,2019,7,151.70399999999998,
1659,2019-07-18,167.29399999999995,2.723999999999999,6.289999999999999,,9.014,2019,7,158.27999999999994,
1660,2019-07-19,163.87600000000003,2.765000000000001,6.2890000000000015,,9.053999999999998,2019,7,154.82200000000003,
1661,2019-07-20,143.224,7.474,7.4300000000000015,,14.904000000000002,2019,7,128.32,
1662,2019-07-21,133.363,15.229000000000001,5.502000000000001,,20.730999999999998,2019,7,112.632,
1663,2019-07-22,166.69899999999996,4.08,6.796,,10.876,2019,7,155.82299999999995,
1664,2019-07-23,170.145,11.117000000000004,7.071999999999997,,18.189,2019,7,151.95600000000002,
1665,2019-07-24,171.21999999999997,1.4149999999999998,7.858,,9.273,2019,7,161.94699999999997,
1666,2019-07-25,174.08899999999997,4.0360000000000005,7.745999999999999,,11.781999999999998,2019,7,162.30699999999996,
1667,2019-07-26,168.30700000000004,6.644,7.364,,14.008,2019,7,154.29900000000004,
1668,2019-07-27,143.46099999999996,14.366,5.7029999999999985,,20.069000000000003,2019,7,123.39199999999995,
1669,2019-07-28,133.49200000000002,14.459000000000001,5.561,,20.020000000000003,2019,7,113.47200000000001,
1670,2019-07-29,162.71599999999995,15.849999999999998,4.2989999999999995,,20.149,2019,7,142.56699999999995,
1671,2019-07-30,164.085,29.51,6.076999999999999,,35.58699999999999,2019,7,128.49800000000002,
1672,2019-07-31,164.18599999999995,21.974,5.105,,27.079000000000004,2019,7,137.10699999999994,
1673,2019-08-01,161.019,10.585,6.212999999999999,,16.798,2019,8,144.221,
1674,2019-08-02,160.25799999999995,3.373,4.066999999999998,,7.439999999999999,2019,8,152.81799999999996,
1675,2019-08-03,136.681,24.168000000000003,5.099,,29.267000000000003,2019,8,107.41400000000002,
1676,2019-08-04,123.49599999999998,7.6149999999999975,6.002000000000002,,13.617,2019,8,109.87899999999998,
1677,2019-08-05,156.24900000000005,3.28,6.034,,9.314000000000002,2019,8,146.93500000000006,
1678,2019-08-06,161.17700000000005,6.275,5.883999999999999,,12.159,2019,8,149.01800000000006,
1679,2019-08-07,163.53699999999995,10.353,5.214,,15.567,2019,8,147.96999999999994,
1680,2019-08-08,160.51200000000003,9.396999999999998,5.849999999999999,,15.247,2019,8,145.26500000000004,
1681,2019-08-09,158.514,7.9270000000000005,6.862,,14.788999999999998,2019,8,143.72500000000002,
1682,2019-08-10,142.343,12.927,6.407999999999999,,19.335,2019,8,123.00799999999998,
